competency,cbe_category,sub_competency,action_cue,tags
Generate a concise message by selecting essential information and excluding non-essential details,Communication & Clarity,Select the correct summary within 60 s.,,"60,concise,essential,summary,generate"
Identify the main point and its supporting details,Communication & Clarity,Select the correct main idea within 60 s.,,"supporting,idea,60,correct,main"
Select language that is clear and appropriate for the intended audience,Communication & Clarity,Select the correct rewrite within 60 s.,,"that,and,language,60,correct"
Sequence information logically from headline to supporting points,Communication & Clarity,Select the correct structure within 60 s.,,"points,supporting,from,sequence,to"
Detect ambiguity or unclear statements,Communication & Clarity,Select the ambiguous statement within 60 s.,,"statement,60,detect,within,ambiguity"
Select the appropriate tone for the situation,Communication & Clarity,Select the correct tone choice within 60 s.,,"60,s.,correct,appropriate,choice"
Identify team roles and responsibilities,Collaboration & Teamwork,Select the correct role-task match within 60 s.,,"match,select,60,correct,roles"
Choose effective coordination steps with peers,Collaboration & Teamwork,Select the correct coordination step within 60 s.,,"step,60,choose,correct,steps"
"Resolve minor conflicts using fair, respectful options",Collaboration & Teamwork,Select the correct conflict-resolution option within 60 s.,,"conflict-resolution,60,s.,correct,option"
Prioritize shared goals when demands or trade-offs arise,Collaboration & Teamwork,Select the correct shared-goal choice within 60 s.,,"60,correct,when,shared-goal,within"
"Offer specific, constructive feedback to teammates",Collaboration & Teamwork,Select the correct feedback statement within 60 s.,,"specific,,statement,to,offer,correct"
Adapt actions to support team needs under pressure,Collaboration & Teamwork,Select the correct adaptive team action within 60 s.,,"actions,action,to,60,under"
Select the correct digital tool or feature for a given task,Digital & AI Fluency,Select the correct tool within 60 s.,,"digital,tool,a,60,s."
"Interpret data from system outputs, dashboards, or AI results",Digital & AI Fluency,Select the correct interpretation within 60 s.,,"outputs,,interpretation,from,interpret,60"
Select the correct AI prompt or instruction for the intended outcome,Digital & AI Fluency,Select the correct prompt within 60 s.,,"60,outcome,correct,prompt,instruction"
Spot anomalies or detect contradictions in digital or AI outputs,Digital & AI Fluency,Select the incorrect or biased output within 60 s.,,"digital,output,60,spot,detect"
Sequence or adjust workflow steps to increase efficiency,Digital & AI Fluency,Select the correct automation within 60 s.,,"sequence,to,efficiency,workflow,correct"
"Assess risk and validate safe digital and AI practices (privacy, data protection, responsible use)",Digital & AI Fluency,Select the correct safe-action choice within 60 s.,,"60,(privacy,,choice,data,select"
Adjust approach when priorities or conditions change,Adaptability & Resilience,Select the correct updated action within 60 s.,,"conditions,priorities,action,60,correct"
